"","cells","sc3.Initial","Monocle.Initial","Seurat.Initial","sc3.33","Monocle.33","Seurat.33","sc3.66","Monocle.66","Seurat.66","sc3.90","Monocle.90","Seurat.90","sc3.Final","Monocle.Final","Seurat.Final"
"4605","SM-GE66M_S043_E1-50",27,26,8,27,26,8,27,26,8,27,26,8,3,13,8
"4606","SM-GE66M_S044_E1-50",6,33,2,6,33,2,6,31,2,6,31,2,6,31,2
"4607","SM-GE66M_S046_E1-50",14,21,7,14,21,7,14,21,7,14,21,7,14,21,7
"4608","SM-GE66M_S047_E1-50",19,23,16,19,23,16,18,23,16,18,4,9,18,4,9
"4609","SM-GE66M_S048_E1-50",12,7,3,12,7,3,11,7,3,11,7,3,11,7,3
"4610","SM-GE66M_S049_E1-50",40,12,8,40,12,8,40,12,8,38,12,8,38,12,8
"4611","SM-GE66M_S050_E1-50",20,15,13,20,15,13,20,15,13,20,15,11,20,3,11
"4612","SM-GE66M_S051_E1-50",1,25,4,1,25,4,1,22,4,1,22,4,1,22,4
"4613","SM-GE66M_S052_E1-50",1,25,2,1,25,2,1,22,2,1,22,2,1,22,2
"4614","SM-GE66M_S053_E1-50",37,18,7,37,18,7,37,18,7,36,11,7,36,11,7
"4615","SM-GE66M_S054_E1-50",37,17,7,37,17,7,37,17,7,36,17,7,36,17,7
"4616","SM-GE66M_S055_E1-50",23,9,10,23,9,10,23,9,10,23,9,10,23,4,10
"4617","SM-GE66M_S056_E1-50",32,32,12,32,32,12,32,32,12,32,32,12,32,32,12
"4618","SM-GE66M_S065_E1-50",31,2,10,31,2,10,31,2,10,31,2,10,31,2,10
"4619","SM-GE66M_S066_E1-50",37,17,7,37,17,7,37,17,7,36,17,7,36,17,7
