"","80","100","120","cells"
"491",4,15,28,"Evan_MC_A1_cell90790"
"492",68,78,4,"Evan_MC_A1_cell90975"
"493",5,8,31,"Evan_MC_A1_cell90993"
"494",30,14,49,"Evan_MC_A1_cell91217"
"495",68,80,119,"Evan_MC_A1_cell91564"
"496",79,84,8,"Evan_MC_A1_cell91828"
"497",54,52,95,"Evan_MC_A1_cell91894"
"498",53,40,109,"Evan_MC_A1_cell91918"
"499",31,95,23,"Evan_MC_A1_cell92313"
"500",78,12,30,"Evan_MC_A1_cell92689"
"501",80,84,8,"Evan_MC_A1_cell92939"
"502",57,74,113,"Evan_MC_A1_cell92953"
"503",2,35,5,"Evan_MC_A1_cell93025"
"504",78,8,31,"Evan_MC_A1_cell93221"
"505",57,74,113,"Evan_MC_A1_cell93301"
"506",30,14,49,"Evan_MC_A1_cell94083"
"507",49,40,92,"Evan_MC_A1_cell94156"
"508",79,84,8,"Evan_MC_A1_cell94237"
"509",49,40,113,"Evan_MC_A1_cell94238"
"510",68,80,120,"Evan_MC_A1_cell94371"
"511",73,95,21,"Evan_MC_A1_cell94587"
"512",63,56,112,"Evan_MC_A1_cell94647"
"513",78,8,31,"Evan_MC_A1_cell94767"
"514",20,20,56,"Evan_MC_A1_cell95167"
"515",49,40,92,"Evan_MC_A1_cell95240"
"516",65,78,4,"Evan_MC_A1_cell95350"
"517",49,40,92,"Evan_MC_A1_cell95387"
"518",69,89,19,"Evan_MC_A1_cell95938"
"519",49,44,92,"Evan_MC_A1_cell96348"
"520",79,84,8,"Evan_MC_A1_cell96389"
"521",4,54,28,"Evan_MC_A1_cell96392"
"522",57,74,92,"Evan_MC_A1_cell96449"
"523",68,80,120,"Evan_MC_A1_cell96544"
"524",1,13,44,"Evan_MC_A1_cell97223"
"525",52,44,105,"Evan_MC_A1_cell97583"
"526",53,49,93,"Evan_MC_A1_cell97736"
"527",49,40,92,"Evan_MC_A1_cell98131"
"528",21,64,58,"Evan_MC_A1_cell98208"
"529",49,40,92,"Evan_MC_A1_cell98260"
"530",20,20,56,"Evan_MC_A1_cell98388"
"531",79,84,8,"Evan_MC_A1_cell98528"
"532",15,2,42,"Evan_MC_A1_cell98856"
"533",49,44,92,"Evan_MC_A1_cell98958"
"534",62,61,107,"Evan_MC_A1_cell99555"
"535",52,44,105,"Evan_MC_A1_cell99679"
